step,susceptible_status,infected_status,filtermean_virulence,ensemble,virulence_init,total_infected
20000,0.9506907330846022,0.049309266915397804,0.09999999999999991,1,0.1,23298.0
20000,0.9747560182173064,0.025243981782693558,0.2000000000000001,2,0.2,19775.0
20000,0.985224586288416,0.014775413711583925,0.2999999999999999,3,0.3,17098.0
20000,0.9945821283449866,0.005417871655013362,0.3999999999999999,4,0.4,14799.0
20000,0.9960745525917225,0.003925447408277439,0.5,5,0.5,9619.0
4001,1.0,0.0,NaN,6,0.6,379.0
1146,1.0,0.0,NaN,7,0.7,59.0
1344,1.0,0.0,NaN,8,0.8,49.0
377,1.0,0.0,NaN,9,0.9,13.0
20000,0.9156778326157723,0.08432216738422765,0.06829502258018665,10,0.1,24598.0
20000,0.9204976483082992,0.0795023516917008,0.07115889625843064,11,0.2,23808.0
20000,0.9105699481865285,0.08943005181347151,0.06590847854149323,12,0.3,24366.0
20000,0.9286037735849056,0.07139622641509434,0.06547166664559567,13,0.4,23596.0
20000,0.9169651415022954,0.08303485849770469,0.06893294621921126,14,0.5,24068.0
20000,0.9202610966057442,0.07973890339425588,0.06938697566527857,15,0.6,24592.0
20000,0.9116609580287306,0.08833904197126936,0.070653626557432,16,0.7,24147.0
20000,0.9206573507091642,0.07934264929083581,0.06266082518190662,17,0.8,24480.0
20000,0.9093741307371349,0.09062586926286509,0.06018309075827339,18,0.9,25374.0
20000,0.9396287244553065,0.060371275544693466,0.10000000000000005,19,0.1,23957.0
20000,0.9782568382012053,0.02174316179879462,0.20000000000000012,20,0.2,20883.0
20000,0.9844580611126892,0.015541938887310798,0.2999999999999998,21,0.3,18141.0
13905,1.0,0.0,NaN,22,0.4,7248.0
20000,0.9993068531131336,0.0006931468868663734,0.5,23,0.5,8974.0
2795,1.0,0.0,NaN,24,0.6,178.0
3089,1.0,0.0,NaN,25,0.7,103.0
1287,1.0,0.0,NaN,26,0.8,42.0
1827,1.0,0.0,NaN,27,0.9,94.0
20000,0.9104749380405645,0.08952506195943553,0.06998100632487611,28,0.1,24249.0
20000,0.9289985809852017,0.0710014190147983,0.0663371907483872,29,0.2,23321.0
20000,0.9290537185979545,0.07094628140204548,0.06900775815558534,30,0.3,23415.0
20000,0.9209028263257765,0.0790971736742235,0.07084415703889152,31,0.4,23788.0
20000,0.9157415460172916,0.08425845398270834,0.06710704210385003,32,0.5,24238.0
20000,0.9019974687723545,0.0980025312276454,0.06301030726094363,33,0.6,25644.0
20000,0.9184213255886319,0.08157867441136811,0.06873545810952861,34,0.7,24408.0
7165,1.0,0.0,NaN,35,0.8,161.0
20000,0.9211759254492097,0.0788240745507903,0.0740231631509975,36,0.9,24156.0
20000,0.9365759151626389,0.06342408483736107,0.10000000000000007,37,0.1,23621.0
20000,0.973949420041833,0.026050579958166953,0.2000000000000001,38,0.2,21140.0
20000,0.9869631601612966,0.013036839838703363,0.2999999999999998,39,0.3,16403.0
1185,1.0,0.0,NaN,40,0.4,24.0
14997,1.0,0.0,NaN,41,0.5,5671.0
15631,1.0,0.0,NaN,42,0.6,4645.0
675,1.0,0.0,NaN,43,0.7,25.0
2128,1.0,0.0,NaN,44,0.8,140.0
321,1.0,0.0,NaN,45,0.9,28.0
20000,0.9215666481602988,0.07843335183970121,0.07385451829932436,46,0.1,23772.0
20000,0.9277600637704264,0.07223993622957353,0.0671586404518593,47,0.2,23273.0
20000,0.9153539279869067,0.0846460720130933,0.06470017795652874,48,0.3,23978.0
20000,0.9226124023140161,0.07738759768598397,0.06943048201957133,49,0.4,23891.0
20000,0.9221498538386584,0.0778501461613416,0.06340119508047344,50,0.5,23771.0
20000,0.9214498460295825,0.0785501539704175,0.06379975273968608,51,0.6,24079.0
20000,0.9214678521868737,0.07853214781312638,0.07386109852341947,52,0.7,23714.0
20000,0.9254975926937012,0.0745024073062987,0.07010960343145602,53,0.8,23513.0
818,1.0,0.0,NaN,54,0.9,41.0
20000,0.9412641315519014,0.058735868448098666,0.10000000000000009,55,0.1,23926.0
20000,0.968054575394025,0.03194542460597506,0.19999999999999998,56,0.2,21634.0
20000,0.9899385350193791,0.010061464980620913,0.2999999999999998,57,0.3,16824.0
11414,1.0,0.0,NaN,58,0.4,7217.0
20000,0.9997691797224386,0.00023082027756138378,0.5,59,0.5,7030.0
1317,1.0,0.0,NaN,60,0.6,82.0
393,1.0,0.0,NaN,61,0.7,20.0
1040,1.0,0.0,NaN,62,0.8,59.0
496,1.0,0.0,NaN,63,0.9,26.0
20000,0.9256681231582157,0.07433187684178437,0.069859273365501,64,0.1,23435.0
20000,0.9187128259874943,0.08128717401250572,0.07434189867923938,65,0.2,23834.0
20000,0.9318946743219164,0.06810532567808354,0.06730750611782996,66,0.3,23398.0
20000,0.9259611825056852,0.07403881749431487,0.0655676773119374,67,0.4,24114.0
20000,0.9157713570459998,0.0842286429540002,0.06647624363325692,68,0.5,24465.0
20000,0.9200488251449497,0.07995117485505035,0.06441560714598939,69,0.6,24081.0
20000,0.8550357225167089,0.14496427748329108,0.06167662942484834,70,0.7,26836.0
629,1.0,0.0,NaN,71,0.8,17.0
20000,0.9205413441328754,0.07945865586712463,0.0632490119259564,72,0.9,24269.0
20000,0.9435315051287418,0.05646849487125811,0.10000000000000009,73,0.1,23860.0
20000,0.9616502578527895,0.0383497421472105,0.19999999999999993,74,0.2,21492.0
20000,0.9806210510094006,0.019378948990599477,0.3000000000000001,75,0.3,17056.0
20000,0.9904326670173593,0.009567332982640715,0.40000000000000013,76,0.4,12088.0
16841,1.0,0.0,NaN,77,0.5,7093.0
9824,1.0,0.0,NaN,78,0.6,2699.0
1629,1.0,0.0,NaN,79,0.7,71.0
589,1.0,0.0,NaN,80,0.8,35.0
282,1.0,0.0,NaN,81,0.9,14.0
20000,0.9191751956652618,0.08082480433473811,0.06968913519580634,82,0.1,23716.0
20000,0.9223076536509373,0.07769234634906276,0.07128579322613007,83,0.2,23598.0
20000,0.9282486717314663,0.07175132826853368,0.07265918787626786,84,0.3,23389.0
20000,0.9139555012473907,0.08604449875260933,0.06831837400317492,85,0.4,23985.0
20000,0.9130434782608695,0.08695652173913043,0.0750371899127243,86,0.5,24262.0
882,1.0,0.0,NaN,87,0.6,27.0
