step,susceptible_status,infected_status,filtermean_virulence,ensemble,mutation_rate,virulence_init,total_infected
20000,0.9370924834385269,0.06290751656147306,0.10000000000000007,1,0.0,0.1,24239.0
20000,0.9659860630573559,0.034013936942644124,0.1999999999999999,2,0.0,0.2,22391.0
20000,0.9834828131975163,0.016517186802483666,0.2999999999999999,3,0.0,0.3,17796.0
10047,1.0,0.0,NaN,4,0.0,0.4,6038.0
20000,0.99575213878327,0.004247861216730038,0.5,5,0.0,0.5,8680.0
5743,1.0,0.0,NaN,6,0.0,0.6,934.0
3150,1.0,0.0,NaN,7,0.0,0.7,193.0
286,1.0,0.0,NaN,8,0.0,0.8,19.0
869,1.0,0.0,NaN,9,0.0,0.9,81.0
20000,0.8897338403041825,0.11026615969581749,0.059980173412758894,10,0.4,0.1,24921.0
20000,0.8995341943679864,0.10046580563201354,0.06205002053573176,11,0.4,0.2,24991.0
20000,0.8868573214564776,0.11314267854352243,0.06248011989053574,12,0.4,0.3,24991.0
20000,0.8996809456561535,0.10031905434384644,0.05875575406970461,13,0.4,0.4,24993.0
3152,1.0,0.0,NaN,14,0.4,0.5,148.0
20000,0.9001585623678647,0.09984143763213531,0.061324255074815356,15,0.4,0.6,25038.0
448,1.0,0.0,NaN,16,0.4,0.7,23.0
260,1.0,0.0,NaN,17,0.4,0.8,17.0
437,1.0,0.0,NaN,18,0.4,0.9,27.0
20000,0.9272772772772773,0.07272272272272272,0.06679729812919524,19,0.8,0.1,23238.0
20000,0.9153240152477764,0.08467598475222364,0.06817928700847783,20,0.8,0.2,24030.0
20000,0.9201466693827663,0.07985333061723365,0.0667785053134222,21,0.8,0.3,24128.0
20000,0.9206768636617715,0.07932313633822857,0.06486627496696334,22,0.8,0.4,24020.0
20000,0.9225822409102152,0.07741775908978481,0.0684082504193389,23,0.8,0.5,23407.0
20000,0.9140932642487046,0.08590673575129534,0.06668242209800317,24,0.8,0.6,24362.0
20000,0.9116361788617886,0.08836382113821138,0.07014732869727124,25,0.8,0.7,24165.0
1213,1.0,0.0,NaN,26,0.8,0.8,57.0
796,1.0,0.0,NaN,27,0.8,0.9,51.0
20000,0.951333094519216,0.04866690548078399,0.0999999999999999,28,0.0,0.1,23643.0
20000,0.9715610944527736,0.028438905547226386,0.20000000000000018,29,0.0,0.2,21558.0
20000,0.9875818090283605,0.012418190971639537,0.2999999999999998,30,0.0,0.3,18351.0
604,1.0,0.0,NaN,31,0.0,0.4,14.0
14292,1.0,0.0,NaN,32,0.0,0.5,5224.0
2403,1.0,0.0,NaN,33,0.0,0.6,102.0
692,1.0,0.0,NaN,34,0.0,0.7,46.0
259,1.0,0.0,NaN,35,0.0,0.8,16.0
1049,1.0,0.0,NaN,36,0.0,0.9,70.0
20000,0.8947752252956191,0.1052247747043809,0.0584569554071329,37,0.4,0.1,24744.0
20000,0.8941685791779679,0.10583142082203213,0.05812357447814623,38,0.4,0.2,24723.0
20000,0.8938782017217558,0.10612179827824424,0.06030657558852302,39,0.4,0.3,25274.0
20000,0.8951676789015052,0.10483232109849486,0.06837529421041058,40,0.4,0.4,25133.0
20000,0.8880437111634883,0.11195628883651168,0.06332150888647958,41,0.4,0.5,25293.0
20000,0.8840556186766217,0.11594438132337824,0.06181265725361972,42,0.4,0.6,25759.0
1251,1.0,0.0,NaN,43,0.4,0.7,41.0
20000,0.9057886351566649,0.0942113648433351,0.059582627937552715,44,0.4,0.8,25011.0
450,1.0,0.0,NaN,45,0.4,0.9,25.0
20000,0.9211163173883941,0.078883682611606,0.06560688869810624,46,0.8,0.1,23935.0
20000,0.9196495245681287,0.08035047543187136,0.06807085504694792,47,0.8,0.2,23404.0
20000,0.922048770533619,0.07795122946638099,0.0741071033994905,48,0.8,0.3,23705.0
20000,0.9228655744377735,0.07713442556222652,0.0715394851187446,49,0.8,0.4,23925.0
20000,0.91738524293902,0.08261475706098002,0.06832556674572611,50,0.8,0.5,24565.0
1826,1.0,0.0,NaN,51,0.8,0.6,49.0
20000,0.9141639821261561,0.08583601787384391,0.06782341206187081,52,0.8,0.7,24296.0
