step,susceptible_status,infected_status,filtermean_virulence,ensemble,mutation_rate,virulence_init,total_infected
668,1.0,0.0,NaN,1,0.0,1.0,26.0
638,1.0,0.0,NaN,2,0.0,1.1,24.0
760,1.0,0.0,NaN,3,0.0,1.2,49.0
1288,1.0,0.0,NaN,4,0.0,1.3,81.0
1163,1.0,0.0,NaN,5,0.0,1.4,63.0
147,1.0,0.0,NaN,6,0.0,1.5,11.0
680,1.0,0.0,NaN,7,0.0,1.6,34.0
599,1.0,0.0,NaN,8,0.0,1.7,27.0
269,1.0,0.0,NaN,9,0.0,1.8,14.0
468,1.0,0.0,NaN,10,0.0,1.9,39.0
1192,1.0,0.0,NaN,11,0.0,2.0,106.0
209,1.0,0.0,NaN,12,0.4,1.0,17.0
20000,0.8974651871192341,0.10253481288076588,0.05814692541062112,13,0.4,1.1,25706.0
163,1.0,0.0,NaN,14,0.4,1.2,15.0
702,1.0,0.0,NaN,15,0.4,1.3,20.0
1907,1.0,0.0,NaN,16,0.4,1.4,120.0
483,1.0,0.0,NaN,17,0.4,1.5,22.0
405,1.0,0.0,NaN,18,0.4,1.6,15.0
846,1.0,0.0,NaN,19,0.4,1.7,72.0
741,1.0,0.0,NaN,20,0.4,1.8,33.0
726,1.0,0.0,NaN,21,0.4,1.9,29.0
699,1.0,0.0,NaN,22,0.4,2.0,42.0
1072,1.0,0.0,NaN,23,0.8,1.0,52.0
777,1.0,0.0,NaN,24,0.8,1.1,23.0
20000,0.9157108281595285,0.08428917184047142,0.06422917517354908,25,0.8,1.2,24551.0
1426,1.0,0.0,NaN,26,0.8,1.3,68.0
20000,0.9217517642175176,0.07824823578248236,0.0691324877948592,27,0.8,1.4,24161.0
20000,0.9202979327117957,0.0797020672882043,0.0683229301020535,28,0.8,1.5,24078.0
20000,0.9211324050762986,0.07886759492370138,0.07073887616171705,29,0.8,1.6,24101.0
813,1.0,0.0,NaN,30,0.8,1.7,28.0
896,1.0,0.0,NaN,31,0.8,1.8,42.0
20000,0.9156166675380353,0.08438333246196476,0.06707840343671123,32,0.8,1.9,24692.0
1040,1.0,0.0,NaN,33,0.8,2.0,62.0
1090,1.0,0.0,NaN,34,0.0,1.0,53.0
197,1.0,0.0,NaN,35,0.0,1.1,17.0
391,1.0,0.0,NaN,36,0.0,1.2,18.0
767,1.0,0.0,NaN,37,0.0,1.3,44.0
705,1.0,0.0,NaN,38,0.0,1.4,29.0
228,1.0,0.0,NaN,39,0.0,1.5,17.0
1127,1.0,0.0,NaN,40,0.0,1.6,30.0
525,1.0,0.0,NaN,41,0.0,1.7,23.0
1016,1.0,0.0,NaN,42,0.0,1.8,32.0
675,1.0,0.0,NaN,43,0.0,1.9,41.0
677,1.0,0.0,NaN,44,0.0,2.0,17.0
1293,1.0,0.0,NaN,45,0.4,1.0,43.0
496,1.0,0.0,NaN,46,0.4,1.1,44.0
20000,0.8924015219337511,0.10759847806624888,0.05982996687328221,47,0.4,1.2,26048.0
377,1.0,0.0,NaN,48,0.4,1.3,18.0
312,1.0,0.0,NaN,49,0.4,1.4,20.0
470,1.0,0.0,NaN,50,0.4,1.5,31.0
445,1.0,0.0,NaN,51,0.4,1.6,17.0
20000,0.8947116152740054,0.10528838472599457,0.06528854030623563,52,0.4,1.7,25079.0
1556,1.0,0.0,NaN,53,0.4,1.8,44.0
2956,1.0,0.0,NaN,54,0.4,1.9,113.0
982,1.0,0.0,NaN,55,0.4,2.0,30.0
2802,1.0,0.0,NaN,56,0.8,1.0,94.0
20000,0.9204516162293138,0.07954838377068618,0.06508741615578376,57,0.8,1.1,24596.0
828,1.0,0.0,NaN,58,0.8,1.2,43.0
379,1.0,0.0,NaN,59,0.8,1.3,13.0
20000,0.9217613721851647,0.07823862781483525,0.07254750019866055,60,0.8,1.4,23414.0
490,1.0,0.0,NaN,61,0.8,1.5,37.0
983,1.0,0.0,NaN,62,0.8,1.6,44.0
20000,0.9148163519402366,0.08518364805976343,0.06981515595115376,63,0.8,1.7,24490.0
128,1.0,0.0,NaN,64,0.8,1.8,11.0
1630,1.0,0.0,NaN,65,0.8,1.9,81.0
643,1.0,0.0,NaN,66,0.8,2.0,29.0
637,1.0,0.0,NaN,67,0.0,1.0,28.0
451,1.0,0.0,NaN,68,0.0,1.1,21.0
400,1.0,0.0,NaN,69,0.0,1.2,26.0
727,1.0,0.0,NaN,70,0.0,1.3,37.0
301,1.0,0.0,NaN,71,0.0,1.4,20.0
328,1.0,0.0,NaN,72,0.0,1.5,20.0
792,1.0,0.0,NaN,73,0.0,1.6,21.0
1401,1.0,0.0,NaN,74,0.0,1.7,82.0
579,1.0,0.0,NaN,75,0.0,1.8,31.0
1034,1.0,0.0,NaN,76,0.0,1.9,72.0
1239,1.0,0.0,NaN,77,0.0,2.0,86.0
377,1.0,0.0,NaN,78,0.4,1.0,32.0
20000,0.8972220746799808,0.10277792532001913,0.06220780331415785,79,0.4,1.1,25120.0
20000,0.8929867943389278,0.10701320566107224,0.061338293807218544,80,0.4,1.2,25139.0
6549,1.0,0.0,NaN,81,0.4,1.3,227.0
594,1.0,0.0,NaN,82,0.4,1.4,32.0
198,1.0,0.0,NaN,83,0.4,1.5,17.0
20000,0.917203660583744,0.08279633941625603,0.05638231548064184,84,0.4,1.6,24679.0
392,1.0,0.0,NaN,85,0.4,1.7,22.0
422,1.0,0.0,NaN,86,0.4,1.8,23.0
972,1.0,0.0,NaN,87,0.4,1.9,74.0
705,1.0,0.0,NaN,88,0.4,2.0,42.0
20000,0.9168505462569291,0.08314945374307088,0.06126685806806191,89,0.8,1.0,24970.0
20000,0.901722057694417,0.09827794230558298,0.0599440196588462,90,0.8,1.1,25476.0
20000,0.913090571487518,0.08690942851248194,0.06842682272159546,91,0.8,1.2,24601.0
1559,1.0,0.0,NaN,92,0.8,1.3,39.0
20000,0.9162465274205165,0.08375347257948348,0.0726049242488428,93,0.8,1.4,24061.0
20000,0.9166407465007776,0.0833592534992224,0.067549999701068,94,0.8,1.5,24322.0
20000,0.9101395838820121,0.08986041611798788,0.06984069038251974,95,0.8,1.6,24520.0
20000,0.9182309076883518,0.08176909231164824,0.06746780376430954,96,0.8,1.7,24289.0
222,1.0,0.0,NaN,97,0.8,1.8,12.0
20000,0.9041655750589468,0.09583442494105318,0.06893244611907935,98,0.8,1.9,24749.0
279,1.0,0.0,NaN,99,0.8,2.0,14.0
854,1.0,0.0,NaN,100,0.0,1.0,77.0
258,1.0,0.0,NaN,101,0.0,1.1,15.0
851,1.0,0.0,NaN,102,0.0,1.2,47.0
715,1.0,0.0,NaN,103,0.0,1.3,45.0
1252,1.0,0.0,NaN,104,0.0,1.4,46.0
536,1.0,0.0,NaN,105,0.0,1.5,34.0
