step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
5000,1751,2823,0.09999999999999998,171,292,0.10000000000000003,1580,2531,0.10000000000000007,1,0.0,0.1,8757,938,7819
5000,923,624,0.3000000000000004,87,68,0.3,836,556,0.30000000000000027,2,0.0,0.3,9560,972,8588
5000,2249,635,0.5,263,72,0.5,1986,563,0.5,3,0.0,0.5,8215,825,7390
5000,7608,159,0.7000000000000003,763,8,0.7000000000000001,6845,151,0.7000000000000002,4,0.0,0.7,2949,249,2700
2175,4738,0,0.0,451,0,0.0,4287,0,0.0,5,0.0,0.9,125,14,111
5000,2462,1828,0.11713625823734103,233,172,0.12268386850332647,2229,1656,0.11656005717106716,6,0.8,0.1,7948,841,7107
5000,4034,1680,0.1527853278437977,401,155,0.14959841782066374,3633,1525,0.15310924328877193,7,0.8,0.3,6581,602,5979
5000,2894,1870,0.14391180837540044,336,215,0.11898529123668652,2558,1655,0.1471499964024841,8,0.8,0.5,7443,732,6711
5000,2811,1772,0.14330369199115522,290,156,0.14398563158229694,2521,1616,0.14323786118904006,9,0.8,0.7,7747,745,7002
766,1834,0,0.0,181,0,0.0,1653,0,0.0,10,0.8,0.9,84,4,80
5000,1934,2836,0.09999999999999999,190,276,0.10000000000000003,1744,2560,0.10000000000000009,11,0.0,0.1,8494,854,7640
5000,850,759,0.3000000000000003,90,91,0.3000000000000001,760,668,0.3000000000000004,12,0.0,0.3,9794,991,8803
5000,1492,534,0.5,127,42,0.5,1365,492,0.5,13,0.0,0.5,9173,931,8242
776,1843,0,0.0,200,0,0.0,1643,0,0.0,14,0.0,0.7,112,7,105
1930,4278,0,0.0,432,0,0.0,3846,0,0.0,15,0.0,0.9,114,11,103
5000,2717,1976,0.12677966863598997,271,196,0.10662740070235006,2446,1780,0.1289986824084582,16,0.8,0.1,7838,789,7049
5000,2195,1858,0.12183830399851495,224,158,0.11711899351229474,1971,1700,0.12227692226723427,17,0.8,0.3,8275,796,7479
5000,3773,1697,0.15444784903163206,371,174,0.14758066816793894,3402,1523,0.15523241204560612,18,0.8,0.5,6696,679,6017
5000,5969,1406,0.1818800923409109,615,152,0.18859729434031475,5354,1254,0.18106588603795287,19,0.8,0.7,4512,434,4078
2000,4378,0,0.0,414,0,0.0,3964,0,0.0,20,0.8,0.9,80,15,65
5000,1878,2982,0.09999999999999994,189,310,0.10000000000000005,1689,2672,0.09999999999999995,21,0.0,0.1,8594,894,7700
