step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
5000,1934,2919,0.09999999999999995,784,1190,0.10000000000000006,1150,1729,0.09999999999999985,1,0.0,0.1,8654,3456,5198
5000,973,749,0.3000000000000004,419,297,0.2999999999999998,554,452,0.3,2,0.0,0.3,9668,3940,5728
5000,4244,870,0.5,1620,320,0.5,2624,550,0.5,3,0.0,0.5,6151,2466,3685
2914,6119,0,0.0,2449,0,0.0,3670,0,0.0,4,0.0,0.7,291,126,165
896,2184,0,0.0,853,0,0.0,1331,0,0.0,5,0.0,0.9,44,26,18
5000,3196,1864,0.1402066655692926,1278,742,0.1450881134051681,1918,1122,0.1369784710111645,6,0.8,0.1,7445,3005,4440
5000,2363,1919,0.12352353895775747,947,787,0.1193898013325543,1416,1132,0.12639743605231127,7,0.8,0.3,7989,3210,4779
5000,3936,1777,0.1423159887832699,1667,686,0.15227848908193603,2269,1091,0.136051758531313,8,0.8,0.5,6520,2576,3944
5000,6797,1244,0.18595706745108506,2792,513,0.17759277720830022,4005,731,0.19182694555580282,9,0.8,0.7,3813,1538,2275
1395,3331,0,0.0,1378,0,0.0,1953,0,0.0,10,0.8,0.9,51,7,44
5000,1840,2899,0.09999999999999999,751,1163,0.10000000000000006,1089,1736,0.09999999999999994,11,0.0,0.1,8774,3466,5308
5000,950,615,0.3000000000000002,396,233,0.2999999999999998,554,382,0.2999999999999998,12,0.0,0.3,9695,3891,5804
5000,1453,617,0.5,511,264,0.5,942,353,0.5,13,0.0,0.5,9103,3675,5428
1078,2595,0,0.0,1051,0,0.0,1544,0,0.0,14,0.0,0.7,69,30,39
1347,2901,0,0.0,1139,0,0.0,1762,0,0.0,15,0.0,0.9,136,46,90
5000,2987,1909,0.13009516702863505,1191,739,0.13641704857875192,1796,1170,0.12610211534868945,16,0.8,0.1,7426,2905,4521
5000,3941,1770,0.15217241367341938,1542,697,0.14571011463759065,2399,1073,0.1563701978560592,17,0.8,0.3,6553,2606,3947
5000,2794,1790,0.14205410533564036,1126,714,0.14320935962558748,1668,1076,0.1412875146636866,18,0.8,0.5,7783,3178,4605
5000,5190,1668,0.1704189838005543,1972,680,0.17279496744893497,3218,988,0.16878369141098057,19,0.8,0.7,5369,2178,3191
852,2133,0,0.0,887,0,0.0,1246,0,0.0,20,0.8,0.9,39,16,23
5000,2499,3098,0.09999999999999995,973,1269,0.10000000000000007,1526,1829,0.09999999999999992,21,0.0,0.1,7770,3124,4646
5000,899,615,0.3000000000000002,371,238,0.29999999999999977,528,377,0.2999999999999999,22,0.0,0.3,9657,3907,5750
5000,1518,510,0.5,595,207,0.5,923,303,0.5,23,0.0,0.5,8952,3570,5382
4140,8127,0,0.0,3384,0,0.0,4743,0,0.0,24,0.0,0.7,635,196,439
1608,3545,0,0.0,1392,0,0.0,2153,0,0.0,25,0.0,0.9,80,40,40
5000,2975,1835,0.12098576484771995,1186,700,0.11638128801606862,1789,1135,0.12382553029455337,26,0.8,0.1,7439,3004,4435
5000,2854,1741,0.15428352573035473,1153,683,0.15061252735697575,1701,1058,0.15665336683528636,27,0.8,0.3,7568,3037,4531
5000,3589,1706,0.1564235607896111,1409,634,0.16037157212913966,2180,1072,0.15408863617276303,28,0.8,0.5,6775,2638,4137
5000,3264,1852,0.1500409034727,1348,770,0.14671156757124043,1916,1082,0.15241020905876615,29,0.8,0.7,7112,2825,4287
5000,4816,1421,0.17554372559511672,1868,554,0.178283355246333,2948,867,0.1737931433266349,30,0.8,0.9,5632,2252,3380
5000,1968,2853,0.09999999999999995,829,1057,0.10000000000000007,1139,1796,0.09999999999999992,31,0.0,0.1,8480,3320,5160
5000,1038,674,0.3000000000000002,433,236,0.2999999999999998,605,438,0.3,32,0.0,0.3,9466,3701,5765
5000,2333,510,0.5,987,209,0.5,1346,301,0.5,33,0.0,0.5,8317,3251,5066
1665,3683,0,0.0,1481,0,0.0,2202,0,0.0,34,0.0,0.7,166,72,94
1121,2638,0,0.0,1072,0,0.0,1566,0,0.0,35,0.0,0.9,54,10,44
5000,3651,1842,0.13861195578910548,1508,726,0.14512315719402924,2143,1116,0.13437617422998832,36,0.8,0.1,6901,2703,4198
5000,2593,1854,0.13116887982830383,1019,748,0.12834896385057498,1574,1106,0.1330760201098058,37,0.8,0.3,7837,3139,4698
5000,5022,1385,0.19033504373703938,2003,555,0.1902976009162867,3019,830,0.19036008080392824,38,0.8,0.5,5375,2136,3239
5000,5119,1516,0.16961889074731748,2068,599,0.15708758628036068,3051,917,0.17780455200763065,39,0.8,0.7,5319,2102,3217
1112,2604,0,0.0,1050,0,0.0,1554,0,0.0,40,0.8,0.9,114,43,71
