step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
580,1610,0,0.0,648,0,0.0,962,0,0.0,1,0.0,1.1,21,5,16
957,2319,0,0.0,884,0,0.0,1435,0,0.0,2,0.0,1.3,72,35,37
1358,2921,0,0.0,1138,0,0.0,1783,0,0.0,3,0.0,1.5,207,97,110
719,1858,0,0.0,755,0,0.0,1103,0,0.0,4,0.0,1.7,33,14,19
1568,3469,0,0.0,1386,0,0.0,2083,0,0.0,5,0.0,1.9,131,52,79
1327,3100,0,0.0,1158,0,0.0,1942,0,0.0,6,0.8,1.1,51,22,29
5000,7002,1156,0.19452612139231934,2803,480,0.1966605330849742,4199,676,0.19301056279398454,7,0.8,1.3,3636,1441,2195
1193,2817,0,0.0,1145,0,0.0,1672,0,0.0,8,0.8,1.5,79,13,66
5000,7728,763,0.183963871462032,3110,285,0.20413861973059255,4618,478,0.17193499435630022,9,0.8,1.7,2776,1130,1646
5000,6184,1401,0.1758972212959716,2618,538,0.15562188154829434,3566,863,0.18853700435999293,10,0.8,1.9,4214,1594,2620
453,1386,0,0.0,530,0,0.0,856,0,0.0,11,0.0,1.1,17,4,13
631,1770,0,0.0,700,0,0.0,1070,0,0.0,12,0.0,1.3,29,11,18
463,1409,0,0.0,532,0,0.0,877,0,0.0,13,0.0,1.5,21,4,17
1398,3285,0,0.0,1307,0,0.0,1978,0,0.0,14,0.0,1.7,83,40,43
565,1501,0,0.0,602,0,0.0,899,0,0.0,15,0.0,1.9,72,26,46
5000,7943,855,0.16956680218440273,3262,343,0.17564711614883047,4681,512,0.16549346685276448,16,0.8,1.1,2600,967,1633
5000,4578,1544,0.15520489680586233,1882,591,0.1492436159845484,2696,953,0.15890176665412736,17,0.8,1.3,5771,2239,3532
5000,7721,784,0.20082509201600224,3075,323,0.2291569649475992,4646,461,0.18097434373637994,18,0.8,1.5,2617,1086,1531
608,1663,0,0.0,654,0,0.0,1009,0,0.0,19,0.8,1.7,20,6,14
3215,6872,0,0.0,2771,0,0.0,4101,0,0.0,20,0.8,1.9,48,15,33
416,1270,0,0.0,523,0,0.0,747,0,0.0,21,0.0,1.1,20,3,17
1005,2366,0,0.0,915,0,0.0,1451,0,0.0,22,0.0,1.3,92,34,58
1386,3028,0,0.0,1191,0,0.0,1837,0,0.0,23,0.0,1.5,111,35,76
558,1522,0,0.0,618,0,0.0,904,0,0.0,24,0.0,1.7,24,6,18
1249,2978,0,0.0,1191,0,0.0,1787,0,0.0,25,0.0,1.9,50,20,30
1265,2942,0,0.0,1220,0,0.0,1722,0,0.0,26,0.8,1.1,57,21,36
1145,2725,0,0.0,1101,0,0.0,1624,0,0.0,27,0.8,1.3,66,25,41
5000,7836,694,0.21041024547452997,3219,252,0.20283643913657332,4617,442,0.21472834320567258,28,0.8,1.5,2546,906,1640
5000,5478,1646,0.1762967389444844,2144,652,0.17456809236439644,3334,994,0.1774306197998338,29,0.8,1.7,5046,2107,2939
574,1578,0,0.0,642,0,0.0,936,0,0.0,30,0.8,1.9,44,21,23
782,1995,0,0.0,794,0,0.0,1201,0,0.0,31,0.0,1.1,33,16,17
724,1918,0,0.0,784,0,0.0,1134,0,0.0,32,0.0,1.3,33,11,22
797,2064,0,0.0,822,0,0.0,1242,0,0.0,33,0.0,1.5,29,5,24
970,2354,0,0.0,914,0,0.0,1440,0,0.0,34,0.0,1.7,66,19,47
873,2201,0,0.0,910,0,0.0,1291,0,0.0,35,0.0,1.9,27,11,16
569,1557,0,0.0,640,0,0.0,917,0,0.0,36,0.8,1.1,48,17,31
534,1550,0,0.0,629,0,0.0,921,0,0.0,37,0.8,1.3,48,23,25
5000,9520,292,0.21459326738339576,3854,123,0.2059484987217225,5666,169,0.2208850220898206,38,0.8,1.5,942,375,567
2742,5859,0,0.0,2279,0,0.0,3580,0,0.0,39,0.8,1.7,131,67,64
5000,8134,655,0.1963940488788155,3277,254,0.17105503930610644,4857,401,0.21244419459319971,40,0.8,1.9,2228,917,1311
1215,2885,0,0.0,1151,0,0.0,1734,0,0.0,41,0.0,1.1,70,22,48
1742,3742,0,0.0,1506,0,0.0,2236,0,0.0,42,0.0,1.3,192,90,102
447,1321,0,0.0,559,0,0.0,762,0,0.0,43,0.0,1.5,37,13,24
1578,3593,0,0.0,1469,0,0.0,2124,0,0.0,44,0.0,1.7,97,30,67
825,2041,0,0.0,784,0,0.0,1257,0,0.0,45,0.0,1.9,64,34,30
581,1540,0,0.0,625,0,0.0,915,0,0.0,46,0.8,1.1,34,7,27
5000,5227,1616,0.17167017707347926,2119,649,0.1679826071584307,3108,967,0.1741450818044684,47,0.8,1.3,5292,2140,3152
5000,7754,906,0.21476642126456313,3081,379,0.21333477349017257,4673,527,0.2157960123584794,48,0.8,1.5,2625,1115,1510
5000,4443,1753,0.17651419861794665,1748,706,0.16916308961806542,2695,1047,0.1814711068833869,49,0.8,1.7,6085,2492,3593
5000,5366,1535,0.17271153333210382,2135,602,0.16927079494153605,3231,933,0.17493160247585712,50,0.8,1.9,5215,2075,3140
1810,3893,0,0.0,1626,0,0.0,2267,0,0.0,51,0.0,1.1,170,71,99
601,1645,0,0.0,671,0,0.0,974,0,0.0,52,0.0,1.3,28,7,21
1241,2851,0,0.0,1169,0,0.0,1682,0,0.0,53,0.0,1.5,125,56,69
1253,2913,0,0.0,1187,0,0.0,1726,0,0.0,54,0.0,1.7,67,22,45
346,1185,0,0.0,459,0,0.0,726,0,0.0,55,0.0,1.9,12,5,7
1304,2928,0,0.0,1166,0,0.0,1762,0,0.0,56,0.8,1.1,44,20,24
471,1356,0,0.0,539,0,0.0,817,0,0.0,57,0.8,1.3,42,9,33
433,1296,0,0.0,509,0,0.0,787,0,0.0,58,0.8,1.5,20,10,10
2771,5890,0,0.0,2378,0,0.0,3512,0,0.0,59,0.8,1.7,124,45,79
5000,4712,1741,0.17085445126235665,1876,714,0.16787233491510575,2836,1027,0.17292770449695938,60,0.8,1.9,5752,2339,3413
1088,2628,0,0.0,1096,0,0.0,1532,0,0.0,61,0.0,1.1,98,23,75
226,936,0,0.0,369,0,0.0,567,0,0.0,62,0.0,1.3,8,5,3
926,2337,0,0.0,961,0,0.0,1376,0,0.0,63,0.0,1.5,37,13,24
955,2268,0,0.0,978,0,0.0,1290,0,0.0,64,0.0,1.7,66,19,47
1006,2402,0,0.0,972,0,0.0,1430,0,0.0,65,0.0,1.9,89,20,69
732,1855,0,0.0,733,0,0.0,1122,0,0.0,66,0.8,1.1,48,15,33
568,1594,0,0.0,626,0,0.0,968,0,0.0,67,0.8,1.3,45,22,23
642,1664,0,0.0,660,0,0.0,1004,0,0.0,68,0.8,1.5,58,19,39
723,1890,0,0.0,709,0,0.0,1181,0,0.0,69,0.8,1.7,61,26,35
5000,5731,1352,0.19836487782202383,2224,509,0.2035799068977513,3507,843,0.1952160642994316,70,0.8,1.9,4732,1918,2814
1389,3113,0,0.0,1234,0,0.0,1879,0,0.0,71,0.0,1.1,114,52,62
1353,3057,0,0.0,1245,0,0.0,1812,0,0.0,72,0.0,1.3,104,44,60
1003,2457,0,0.0,930,0,0.0,1527,0,0.0,73,0.0,1.5,70,28,42
936,2226,0,0.0,899,0,0.0,1327,0,0.0,74,0.0,1.7,104,39,65
1153,2680,0,0.0,1049,0,0.0,1631,0,0.0,75,0.0,1.9,102,44,58
5000,8185,598,0.22431225111229167,3253,226,0.23935034597448387,4932,372,0.21517620423364797,76,0.8,1.1,2066,787,1279
696,1789,0,0.0,720,0,0.0,1069,0,0.0,77,0.8,1.3,64,26,38
5000,7635,866,0.1839203108163821,2963,349,0.17631142173343672,4672,517,0.18905667888204536,78,0.8,1.5,2766,1093,1673
5000,9764,197,0.18523113151940346,3909,72,0.16587047469784413,5855,125,0.19638286984862172,79,0.8,1.7,618,219,399
5000,7668,922,0.15766942572948378,3177,371,0.16449091802027982,4491,551,0.1530763701217064,80,0.8,1.9,2949,1085,1864
1190,2818,0,0.0,1135,0,0.0,1683,0,0.0,81,0.0,1.1,80,26,54
966,2340,0,0.0,905,0,0.0,1435,0,0.0,82,0.0,1.3,56,24,32
418,1254,0,0.0,506,0,0.0,748,0,0.0,83,0.0,1.5,22,8,14
619,1594,0,0.0,631,0,0.0,963,0,0.0,84,0.0,1.7,42,13,29
837,2130,0,0.0,815,0,0.0,1315,0,0.0,85,0.0,1.9,74,27,47
5000,4727,1556,0.1752422432364252,1864,648,0.1767108181266814,2863,908,0.17419418538522913,86,0.8,1.1,5675,2383,3292
5000,10314,5,0.05,4152,2,0.05,6162,3,0.05000000000000001,87,0.8,1.3,116,29,87
1183,2742,0,0.0,1127,0,0.0,1615,0,0.0,88,0.8,1.5,88,32,56
506,1439,0,0.0,599,0,0.0,840,0,0.0,89,0.8,1.7,33,15,18
5000,5455,1364,0.18766519715467272,2149,550,0.20262001247593311,3306,814,0.17756059220787515,90,0.8,1.9,4940,2025,2915
1182,2827,0,0.0,1116,0,0.0,1711,0,0.0,91,0.0,1.1,85,35,50
428,1295,0,0.0,523,0,0.0,772,0,0.0,92,0.0,1.3,13,8,5
835,2116,0,0.0,829,0,0.0,1287,0,0.0,93,0.0,1.5,37,9,28
803,1974,0,0.0,824,0,0.0,1150,0,0.0,94,0.0,1.7,60,13,47
912,2238,0,0.0,879,0,0.0,1359,0,0.0,95,0.0,1.9,105,37,68
5000,6284,1091,0.16961747011115216,2477,441,0.16463216745668688,3807,650,0.17299980621979705,96,0.8,1.1,4140,1696,2444
5000,7845,901,0.20506872569055806,3169,335,0.21333077814995136,4676,566,0.20017864163773677,97,0.8,1.3,2510,1021,1489
1214,2920,0,0.0,1138,0,0.0,1782,0,0.0,98,0.8,1.5,33,13,20
481,1376,0,0.0,532,0,0.0,844,0,0.0,99,0.8,1.7,33,15,18
1741,3922,0,0.0,1586,0,0.0,2336,0,0.0,100,0.8,1.9,143,53,90
624,1649,0,0.0,651,0,0.0,998,0,0.0,101,0.0,1.1,40,7,33
1761,3671,0,0.0,1506,0,0.0,2165,0,0.0,102,0.0,1.3,214,94,120
757,1997,0,0.0,780,0,0.0,1217,0,0.0,103,0.0,1.5,26,8,18
411,1285,0,0.0,513,0,0.0,772,0,0.0,104,0.0,1.7,29,10,19
540,1519,0,0.0,611,0,0.0,908,0,0.0,105,0.0,1.9,57,23,34
5000,7214,1019,0.2044032719661416,2965,428,0.196122378153486,4249,591,0.2104002644396044,106,0.8,1.1,3141,1228,1913
882,2115,0,0.0,836,0,0.0,1279,0,0.0,107,0.8,1.3,68,37,31
5000,7191,895,0.17380833907720314,2911,341,0.15867353352914085,4280,554,0.18312416704090193,108,0.8,1.5,3363,1291,2072
619,1676,0,0.0,707,0,0.0,969,0,0.0,109,0.8,1.7,61,19,42
668,1770,0,0.0,692,0,0.0,1078,0,0.0,110,0.8,1.9,85,42,43
783,1999,0,0.0,809,0,0.0,1190,0,0.0,111,0.0,1.1,74,38,36
1029,2302,0,0.0,895,0,0.0,1407,0,0.0,112,0.0,1.3,157,67,90
893,2186,0,0.0,887,0,0.0,1299,0,0.0,113,0.0,1.5,41,10,31
870,2222,0,0.0,881,0,0.0,1341,0,0.0,114,0.0,1.7,57,21,36
380,1175,0,0.0,453,0,0.0,722,0,0.0,115,0.0,1.9,20,6,14
726,1882,0,0.0,772,0,0.0,1110,0,0.0,116,0.8,1.1,39,7,32
5000,10312,89,0.18526159710617204,4199,37,0.14294706498561296,6113,52,0.2153700141919545,117,0.8,1.3,264,103,161
1517,3459,0,0.0,1407,0,0.0,2052,0,0.0,118,0.8,1.5,107,36,71
838,2139,0,0.0,858,0,0.0,1281,0,0.0,119,0.8,1.7,35,5,30
5000,10230,9,0.05900175919903651,4113,5,0.041425495967847635,6117,4,0.08097208823802261,120,0.8,1.9,97,49,48
793,1955,0,0.0,761,0,0.0,1194,0,0.0,121,0.0,1.1,50,20,30
1042,2472,0,0.0,984,0,0.0,1488,0,0.0,122,0.0,1.3,56,17,39
544,1522,0,0.0,619,0,0.0,903,0,0.0,123,0.0,1.5,45,18,27
1608,3531,0,0.0,1409,0,0.0,2122,0,0.0,124,0.0,1.7,134,70,64
806,1976,0,0.0,761,0,0.0,1215,0,0.0,125,0.0,1.9,55,23,32
516,1486,0,0.0,592,0,0.0,894,0,0.0,126,0.8,1.1,48,14,34
5000,4372,1467,0.15743462187105747,1752,597,0.14746978710755854,2620,870,0.16427256020876885,127,0.8,1.3,6087,2435,3652
5000,10473,1,0.01730598033051023,4205,0,0.0,6268,1,0.01730598033051023,128,0.8,1.5,27,2,25
631,1729,0,0.0,670,0,0.0,1059,0,0.0,129,0.8,1.7,22,5,17
1753,3804,0,0.0,1534,0,0.0,2270,0,0.0,130,0.8,1.9,58,21,37
1178,2776,0,0.0,1042,0,0.0,1734,0,0.0,131,0.0,1.1,92,43,49
1002,2473,0,0.0,985,0,0.0,1488,0,0.0,132,0.0,1.3,46,16,30
1634,3631,0,0.0,1432,0,0.0,2199,0,0.0,133,0.0,1.5,167,54,113
1124,2536,0,0.0,1007,0,0.0,1529,0,0.0,134,0.0,1.7,107,35,72
1492,3256,0,0.0,1257,0,0.0,1999,0,0.0,135,0.0,1.9,164,74,90
412,1257,0,0.0,512,0,0.0,745,0,0.0,136,0.8,1.1,19,10,9
5000,5462,1356,0.18435165378780932,2209,564,0.18273371218157236,3253,792,0.18550382432558424,137,0.8,1.3,4986,2009,2977
437,1290,0,0.0,526,0,0.0,764,0,0.0,138,0.8,1.5,26,10,16
5000,5731,1509,0.16417773823568818,2231,636,0.1647217497765084,3500,873,0.16378141367674015,139,0.8,1.7,4828,1989,2839
5000,8108,677,0.2176212683770792,3242,263,0.20230600168421634,4866,414,0.2273505320008061,140,0.8,1.9,2372,941,1431
1438,3142,0,0.0,1255,0,0.0,1887,0,0.0,141,0.0,1.1,139,65,74
883,2165,0,0.0,863,0,0.0,1302,0,0.0,142,0.0,1.3,86,38,48
536,1493,0,0.0,623,0,0.0,870,0,0.0,143,0.0,1.5,55,27,28
726,1926,0,0.0,798,0,0.0,1128,0,0.0,144,0.0,1.7,43,10,33
978,2398,0,0.0,973,0,0.0,1425,0,0.0,145,0.0,1.9,52,15,37
376,1186,0,0.0,459,0,0.0,727,0,0.0,146,0.8,1.1,35,19,16
5000,8810,428,0.1993781226157875,3675,158,0.2318142866070424,5135,270,0.1803969599838679,147,0.8,1.3,1693,614,1079
1164,2782,0,0.0,1134,0,0.0,1648,0,0.0,148,0.8,1.5,70,17,53
4167,8567,0,0.0,3445,0,0.0,5122,0,0.0,149,0.8,1.7,156,72,84
5000,8654,551,0.2001439321874173,3516,261,0.19709212542338186,5138,290,0.2028905582750493,150,0.8,1.9,1570,672,898
800,2104,0,0.0,817,0,0.0,1287,0,0.0,151,0.0,1.1,36,9,27
472,1422,0,0.0,542,0,0.0,880,0,0.0,152,0.0,1.3,26,11,15
747,1886,0,0.0,757,0,0.0,1129,0,0.0,153,0.0,1.5,45,12,33
1106,2547,0,0.0,1045,0,0.0,1502,0,0.0,154,0.0,1.7,64,20,44
1103,2694,0,0.0,1139,0,0.0,1555,0,0.0,155,0.0,1.9,66,14,52
470,1387,0,0.0,554,0,0.0,833,0,0.0,156,0.8,1.1,29,14,15
5000,10139,2,0.025060745273065725,4074,1,0.0001214905461314475,6065,1,0.05,157,0.8,1.3,213,89,124
462,1364,0,0.0,564,0,0.0,800,0,0.0,158,0.8,1.5,22,3,19
5000,6327,1239,0.1548859666266221,2632,490,0.14468328316440798,3695,749,0.16156061935891167,159,0.8,1.7,4269,1648,2621
854,2095,0,0.0,849,0,0.0,1246,0,0.0,160,0.8,1.9,60,21,39
1147,2691,0,0.0,1105,0,0.0,1586,0,0.0,161,0.0,1.1,74,29,45
846,2155,0,0.0,887,0,0.0,1268,0,0.0,162,0.0,1.3,47,17,30
845,2081,0,0.0,825,0,0.0,1256,0,0.0,163,0.0,1.5,24,7,17
655,1806,0,0.0,717,0,0.0,1089,0,0.0,164,0.0,1.7,44,12,32
833,2052,0,0.0,812,0,0.0,1240,0,0.0,165,0.0,1.9,60,29,31
5000,7662,765,0.21996411723562456,3160,301,0.21088189651910955,4502,464,0.22585581645043262,166,0.8,1.1,2672,1050,1622
5000,9172,479,0.2123065717466923,3673,208,0.23348518181945266,5499,271,0.19605140239195365,167,0.8,1.3,1370,589,781
1108,2575,0,0.0,1047,0,0.0,1528,0,0.0,168,0.8,1.5,94,41,53
3140,6771,0,0.0,2721,0,0.0,4050,0,0.0,169,0.8,1.7,27,11,16
783,1972,0,0.0,787,0,0.0,1185,0,0.0,170,0.8,1.9,70,30,40
1087,2662,0,0.0,1089,0,0.0,1573,0,0.0,171,0.0,1.1,74,33,41
1010,2389,0,0.0,926,0,0.0,1463,0,0.0,172,0.0,1.3,137,76,61
2578,5339,0,0.0,2019,0,0.0,3320,0,0.0,173,0.0,1.5,275,126,149
1444,3177,0,0.0,1261,0,0.0,1916,0,0.0,174,0.0,1.7,169,69,100
1668,3653,0,0.0,1453,0,0.0,2200,0,0.0,175,0.0,1.9,173,82,91
3767,7934,0,0.0,3222,0,0.0,4712,0,0.0,176,0.8,1.1,216,86,130
1320,2957,0,0.0,1207,0,0.0,1750,0,0.0,177,0.8,1.3,99,25,74
947,2345,0,0.0,930,0,0.0,1415,0,0.0,178,0.8,1.5,57,21,36
1555,3551,0,0.0,1452,0,0.0,2099,0,0.0,179,0.8,1.7,66,20,46
1093,2647,0,0.0,1004,0,0.0,1643,0,0.0,180,0.8,1.9,68,26,42
1349,3197,0,0.0,1277,0,0.0,1920,0,0.0,181,0.0,1.1,84,40,44
761,1916,0,0.0,766,0,0.0,1150,0,0.0,182,0.0,1.3,63,35,28
387,1235,0,0.0,481,0,0.0,754,0,0.0,183,0.0,1.5,20,1,19
1877,4007,0,0.0,1569,0,0.0,2438,0,0.0,184,0.0,1.7,247,109,138
551,1597,0,0.0,629,0,0.0,968,0,0.0,185,0.0,1.9,21,9,12
5000,10322,14,0.11588854041572083,4077,1,0.01936757676286062,6245,13,0.1233132299274793,186,0.8,1.1,208,72,136
5000,6545,1322,0.20376227178142733,2652,538,0.2009675859495232,3893,784,0.2056800536405657,187,0.8,1.3,4040,1609,2431
5000,6087,1378,0.18847490505405495,2400,550,0.18603711581804738,3687,828,0.19009420949826292,188,0.8,1.5,4357,1735,2622
417,1211,0,0.0,478,0,0.0,733,0,0.0,189,0.8,1.7,16,7,9
